PlotID,Longitude,Latitude,Dataset
190,9.653348,44.159066,CircumMed
191,9.647312,44.161828,CircumMed
192,9.754502,44.097545,CircumMed
193,9.705245,44.147233,CircumMed
194,9.722689,44.1207,CircumMed
195,9.737268,44.11823,CircumMed
196,9.731849,44.116563,CircumMed
197,9.633543,44.140874,CircumMed
198,9.634577,44.151051,CircumMed
199,10.719937,43.774842,CircumMed
200,10.658332,43.79376,CircumMed
201,10.695096,43.775213,CircumMed
202,10.99375,43.788399,CircumMed
203,10.557296,43.732156,CircumMed
204,10.761962,43.936264,CircumMed
205,10.761962,43.936264,CircumMed
206,10.761962,43.936264,CircumMed
207,10.761962,43.936264,CircumMed
208,10.749245,43.927456,CircumMed
209,10.737055,43.936646,CircumMed
210,10.749509,43.936456,CircumMed
211,10.749773,43.945455,CircumMed
212,10.725122,43.954833,CircumMed
213,10.637174,43.929117,CircumMed
214,10.624721,43.929295,CircumMed
215,10.624721,43.929295,CircumMed
216,10.730436,43.923241,CircumMed
217,10.816222,43.876892,CircumMed
218,10.815948,43.867893,CircumMed
219,10.828387,43.867695,CircumMed
220,10.987391,43.784008,CircumMed
221,10.816222,43.876892,CircumMed
222,10.828938,43.885693,CircumMed
223,10.816222,43.876892,CircumMed
224,10.828938,43.885693,CircumMed
225,10.816222,43.876892,CircumMed
226,11.070715999999999,43.504121,CircumMed
227,10.614102,43.148295,CircumMed
228,8.474006,44.472488,CircumMed
229,8.474006,44.472488,CircumMed
230,8.474006,44.472488,CircumMed
231,8.474006,44.472488,CircumMed
232,8.474006,44.472488,CircumMed
233,8.474006,44.472488,CircumMed
234,8.474006,44.472488,CircumMed
235,8.474006,44.472488,CircumMed
236,8.474006,44.472488,CircumMed
237,8.474006,44.472488,CircumMed
238,8.474006,44.472488,CircumMed
239,8.474006,44.472488,CircumMed
240,8.474006,44.472488,CircumMed
241,8.474006,44.472488,CircumMed
242,8.474006,44.472488,CircumMed
243,8.474006,44.472488,CircumMed
244,8.474006,44.472488,CircumMed
245,8.474006,44.472488,CircumMed
246,8.445971,44.525474,CircumMed
247,9.565355,44.208513,CircumMed
248,9.551519,44.239466,CircumMed
249,9.551519,44.239466,CircumMed
250,9.550658,44.274814,CircumMed
251,11.217222,43.103167,Tocchi Pinus pinaster
252,11.310833,43.104444,Tocchi Pinus pinaster
253,11.238889,43.125278,Tocchi Pinus pinaster
254,11.242222,43.131389,Tocchi Pinus pinaster
255,11.247222,43.13,Tocchi Pinus pinaster
256,11.236389,43.128889,Tocchi Pinus pinaster
257,11.235278,43.153333,Tocchi Pinus pinaster
258,11.234722,43.1575,Tocchi Pinus pinaster
259,11.230833,43.156944,Tocchi Pinus pinaster
260,11.231111,43.162222,Tocchi Pinus pinaster
261,11.221111,43.138611,Tocchi Pinus pinaster
262,11.225833,43.135556,Tocchi Pinus pinaster
263,11.225833,43.135556,Tocchi Pinus pinaster
264,11.226667,43.118611,Tocchi Pinus pinaster
265,11.22,43.119167,Tocchi Pinus pinaster
266,11.216389,43.124167,Tocchi Pinus pinaster
267,11.2175,43.124167,Tocchi Pinus pinaster
268,11.243889,43.104444,Tocchi Pinus pinaster
269,11.244722,43.107778,Tocchi Pinus pinaster
270,11.243889,43.111389,Tocchi Pinus pinaster
271,11.282222,43.055556,Tocchi Pinus pinaster
272,11.259444,43.07,Tocchi Pinus pinaster
273,11.246944,43.070833,Tocchi Pinus pinaster
274,11.237222,43.071667,Tocchi Pinus pinaster
275,11.150556,43.114444,Tocchi Pinus pinaster
276,11.252222,43.134167,Tocchi Pinus pinaster
277,11.2475,43.133056,Tocchi Pinus pinaster
278,11.246389,43.139167,Tocchi Pinus pinaster
279,11.248333,43.145,Tocchi Pinus pinaster
280,11.256944,43.138611,Tocchi Pinus pinaster
281,11.253611,43.135833,Tocchi Pinus pinaster
282,11.231389,43.123611,Tocchi Pinus pinaster
283,11.231667,43.121667,Tocchi Pinus pinaster
284,11.225556,43.167222,Tocchi Pinus pinaster
285,11.211667,43.234722,Tocchi Pinus pinaster
286,11.185556,43.188611,Tocchi Pinus pinaster
287,11.185556,43.188611,Tocchi Pinus pinaster
288,11.206667,43.186667,Tocchi Pinus pinaster
289,11.192778,43.181111,Tocchi Pinus pinaster
290,11.192778,43.181111,Tocchi Pinus pinaster
291,11.1875,43.190556,Tocchi Pinus pinaster
292,11.188333,43.194167,Tocchi Pinus pinaster
293,11.185,43.186944,Tocchi Pinus pinaster
294,11.183333,43.189722,Tocchi Pinus pinaster
